month,rows,rule,eocj,eocj_rows,precision_rule
2024-10,19927.0,0.010674438933651342,0.0018988884846497052,45.0,0.17510778802597826
2024-11,19944.0,0.01302564589464524,0.0009747291062512786,22.0,0.07307480531739165
2024-12,19786.0,0.0191845117968582,0.0008635064982106053,17.0,0.040721661499731936
2025-01,19864.0,0.01912532354870665,0.0006734136479752477,14.0,0.030566612609956263
2025-02,19882.0,0.014253349439596531,0.0010380651332775942,19.0,0.06951497643302416
2025-03,19917.0,0.011839493842348696,0.0005739234886165491,14.0,0.04847533993080698
2025-04,19837.0,0.013640354339551707,0.0010048721470288452,18.0,0.07366906474820144
2025-05,19671.0,0.01225139212579003,0.0008202505973244952,21.0,0.0669516238565094
2025-06,19866.0,0.012294039340323758,0.0008540245278654353,19.0,0.06522182768050283
2025-07,19844.0,0.012830144987747065,0.0007802546618406945,15.0,0.056700175840217644
2025-08,19673.0,0.011922618235083034,0.00035556965119025913,8.0,0.029823118058412174
2025-09,19847.0,0.006010021080687179,0.0005743638846995518,13.0,0.09556769884638737
2025-10,19712.0,0.008374197965259756,0.00071446767183047,15.0,0.08094491183041021
2025-11,19895.0,0.011273961816425697,0.0006576821990380985,14.0,0.05316965921582996
2025-12,19808.0,0.007104248830217124,0.0006285343011708233,15.0,0.08847301328993762
2026-01,19731.0,0.00705341290665843,0.0009593884054228076,22.0,0.13117332494495126
2026-02,19771.0,0.005272402042914147,0.0007596176415835014,16.0,0.14407430150445194
2026-03,19820.0,0.005510739650322335,0.0007602828252109785,18.0,0.12844909609895339
2026-04,19882.0,0.0059897134478403774,0.0007918285055751256,20.0,0.12695834424941055
2026-05,19929.0,0.00629397947067864,0.000488874953668247,12.0,0.07767342679551743
2026-06,19900.0,0.0061330050517046245,0.0006272025558302864,13.0,0.10226676002100472
2026-07,19914.0,0.005798761079261553,0.0005509809299822391,11.0,0.09501700836627745
2026-08,19872.0,0.0055200761151000125,0.00032787710127425707,7.0,0.05939720656701789
